strategy,scratchpad_kb,scratchpad_latency,dram_latency,bandwidth,compute_ops,matrix_m,matrix_n,matrix_k,total_cycles,compute_cycles,dram_stall_cycles,scratchpad_stall_cycles,dram_bytes,compute_utilization,arithmetic_intensity,effective_ops_per_cycle,energy_pj,ops_per_pj,a_reuse_factor,b_reuse_factor,c_reuse_factor,tuned,tune_objective,tile_m,tile_n,tile_k,tune_candidates_considered,tune_candidates_evaluated,tune_candidates_rejected
row_stationary,4,1,50,8,256,256,256,256,1358339,132819,1221920,3600,8335360,0.0977805,4.02555,24.7025,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,50,16,256,256,256,256,837379,132819,700960,3600,8335360,0.158613,4.02555,40.0708,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,50,32,256,256,256,256,577291,132819,440872,3600,8335360,0.230073,4.02555,58.1239,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,50,64,256,256,256,256,448348,132819,311929,3600,8335360,0.296241,4.02555,74.8402,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,100,8,256,256,256,256,1538339,132819,1401920,3600,8335360,0.0863392,4.02555,21.8121,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,100,16,256,256,256,256,1017379,132819,880960,3600,8335360,0.13055,4.02555,32.9813,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,100,32,256,256,256,256,757291,132819,620872,3600,8335360,0.175387,4.02555,44.3085,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,100,64,256,256,256,256,628348,132819,491929,3600,8335360,0.211378,4.02555,53.401,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,200,8,256,256,256,256,1898339,132819,1761920,3600,8335360,0.0699659,4.02555,17.6757,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,200,16,256,256,256,256,1377379,132819,1240960,3600,8335360,0.0964288,4.02555,24.3611,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,200,32,256,256,256,256,1117291,132819,980872,3600,8335360,0.118876,4.02555,30.032,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,4,1,200,64,256,256,256,256,988348,132819,851929,3600,8335360,0.134385,4.02555,33.95,1.90734e+09,0.0175923,1.01373,1,15,0,,0,0,0,0,0,0
row_stationary,8,1,50,8,256,256,256,256,908786,131790,775896,1100,5767168,0.145018,5.81818,36.9223,1.39049e+09,0.0241314,1,1,10,0,,0,0,0,0,0,0
row_stationary,8,1,50,16,256,256,256,256,548338,131790,415448,1100,5767168,0.240344,5.81818,61.193,1.39049e+09,0.0241314,1,1,10,0,,0,0,0,0,0,0
row_stationary,8,1,50,32,256,256,256,256,368214,131790,235324,1100,5767168,0.357917,5.81818,91.1275,1.39049e+09,0.0241314,1,1,10,0,,0,0,0,0,0,0
row_stationary,8,1,50,64,256,256,256,256,278462,131790,145572,1100,5767168,0.473278,5.81818,120.499,1.39049e+09,0.0241314,1,1,10,0,,0,0,0,0,0,0
row_stationary,8,1,100,8,256,256,256,256,963786,131790,830896,1100,5767168,0.136742,5.81818,34.8152,1.39049e+09,0.0241314,1,1,10,0,,0,0,0,0,0,0
row_stationary,8,1,100,16,256,256,256,256,603338,131790,470448,1100,5767168,0.218435,5.81818,55.6147,1.39049e+09,0.0241314,1,1,10,0,,0,0,0,0,0,0
